date,open,high,low,close,volume
2022-12-12,5.9700000000,6.0200000000,5.9200000000,5.9300000000,23366670
2022-12-13,5.9200000000,5.9800000000,5.9000000000,5.9300000000,10855980
2022-12-14,5.9300000000,5.9600000000,5.9000000000,5.9600000000,10781253
2022-12-15,5.9700000000,5.9800000000,5.8500000000,5.8600000000,11130700
2022-12-16,5.8500000000,5.9400000000,5.8500000000,5.9100000000,10205804
2022-12-19,5.9000000000,5.9400000000,5.8500000000,5.8600000000,12047321
2022-12-20,5.8500000000,5.8800000000,5.7900000000,5.8200000000,8871964
2022-12-21,5.8200000000,5.8800000000,5.8000000000,5.8600000000,7980084
2022-12-22,5.8600000000,5.8800000000,5.8000000000,5.8200000000,6887103
2022-12-23,5.8100000000,5.8300000000,5.7600000000,5.7700000000,6228500
2022-12-26,5.7600000000,5.8000000000,5.7300000000,5.7500000000,6186366
2022-12-27,5.7500000000,5.7900000000,5.7400000000,5.7700000000,6381683
2022-12-28,5.7600000000,5.8700000000,5.7400000000,5.8600000000,10351602
2022-12-29,5.8500000000,5.8900000000,5.7800000000,5.8800000000,10299410
2022-12-30,5.8800000000,5.9100000000,5.8500000000,5.8800000000,6734380
2023-01-03,5.9000000000,5.9200000000,5.8400000000,5.9000000000,12122198
2023-01-04,5.8800000000,5.9600000000,5.8800000000,5.9600000000,13806573
2023-01-05,5.9700000000,5.9800000000,5.9400000000,5.9600000000,8585781
2023-01-06,5.9800000000,5.9800000000,5.9300000000,5.9400000000,8229300
2023-01-09,5.9400000000,5.9700000000,5.9200000000,5.9500000000,8100400
2023-01-10,5.9400000000,5.9600000000,5.9000000000,5.9100000000,7994900
2023-01-11,5.9100000000,5.9500000000,5.9000000000,5.9200000000,6437200
2023-01-12,5.9100000000,5.9200000000,5.8900000000,5.9100000000,6329950
2023-01-13,5.9300000000,5.9400000000,5.9000000000,5.9300000000,4599456
2023-01-16,5.9300000000,5.9800000000,5.9200000000,5.9300000000,9600597
2023-01-17,5.9300000000,5.9600000000,5.9200000000,5.9600000000,6991325
2023-01-18,5.9300000000,6.0000000000,5.9300000000,5.9800000000,10228500
2023-01-19,5.9800000000,5.9800000000,5.9300000000,5.9500000000,6069221
2023-01-20,5.9500000000,5.9800000000,5.9300000000,5.9700000000,9214103
2023-01-30,6.0000000000,6.0200000000,5.9500000000,5.9600000000,15346752
2023-01-31,5.9600000000,5.9700000000,5.9000000000,5.9100000000,15949994
2023-02-01,5.9100000000,5.9300000000,5.9000000000,5.9300000000,8893911
2023-02-02,5.9400000000,5.9400000000,5.9100000000,5.9200000000,8128467
2023-02-03,5.9200000000,5.9200000000,5.8800000000,5.9100000000,10647549
2023-02-06,5.8900000000,5.9100000000,5.8700000000,5.8900000000,7862400
2023-02-07,5.9000000000,5.9000000000,5.8800000000,5.8900000000,5975759
2023-02-08,5.8900000000,5.8900000000,5.8400000000,5.8400000000,12446551
2023-02-09,5.8400000000,5.8700000000,5.8400000000,5.8700000000,6011400
2023-02-10,5.8600000000,5.8700000000,5.8500000000,5.8700000000,5149000
